Date,매출,예측
2021.11.17,7.1,6.82
2021.8.18,6.51,6.33
2021.5.26,5.66,5.4
2021.2.24,5,4.82
2020.11.18,4.73,4.42
2020.8.29,3.87,3.65
2020.5.21,3.08,2.97
2020.2.13,3.11,2.96
2019.11.14,3.01,2.92
2019.8.15,2.58,2.55
2019.5.16,2.22,2.2
