Date,매출,예측
2021.4.28,89.58,77.278
2021.1.27,111.44,103.27
2020.10.29,64.7,63.8
2020.7.30,59.69,52.29
2020.4.30,58.31,54.9
2020.1.28,91.82,88.51
2019.10.30,64.04,63.01
2019.7.30,53.81,53.32
2019.4.30,58.02,57.51
