Date,매출,예측
2021.10.28,8.15,8.21
2021.7.27,7.5,7.29
2021.4.27,6.67,6.78
2021.1.26,6.75,6.91
2020.10.29,6.2,6.06
2020.7.28,4.22,4.1
2020.4.28,6,5.89
2020.1.28,7.1,6.48
2019.10.30,6.75,6.68
2019.7.25,6.62,6.67
2019.4.25,6.31,6.32
