Date,매출,예측
2021.10.20,13.76,14
2021.7.26,11.96,11.51
2021.4.26,10.39,10.48
2021.1.27,10.74,10.74
2020.10.21,8.77,8.435
2020.7.22,6.04,6.04
2020.4.29,5.99,6.11
2020.1.29,7.38,7.02
2019.10.23,6.3,6.43
2019.7.24,6.35,6.47
2019.4.24,4.54,5.45
