Date,매출,예측
2021.10.25,29.01,29.29
2021.7.28,29.08,27.85
2021.4.28,26.17,23.73
2021.1.27,28.07,26.36
2020.10.29,21.47,19.8
2020.7.30,18.69,17.403
2020.4.29,17.74,17.33
2020.1.29,21.08,20.89
2019.10.30,17.65,17.37
2019.7.24,16.89,16.49
2019.4.24,15.08,14.98
