Date,매출,예측
2021.10.14,14.75,14.81
2021.7.15,13.35,13.23
2021.4.14,12.77,12.78
2021.1.14,12.93,12.85
2020.10.14,12.4,11.84
2020.7.15,10.55,10.39
2020.4.25,10.35,10.31
2020.1.17,10.6,10.5
2019.10.17,9.58,9.25
2019.7.18,7.76,7.62
2019.4.17,7.09,7.14
