Date,매출,예측
2021.10.27,35.68,38.21
2021.7.28,26.75,24.72
2021.4.28,36.23,36.13
2021.2.4,36,36.77
2020.10.28,37.5,35.72
2020.7.30,19.37,19.35
2020.4.28,34.32,34.69
2020.2.4,39.7,39.63
2019.10.23,36.99,36.87
2019.7.24,38.85,38.63
2019.4.25,40.34,40.3
