Date,매출,예측
2021.11.3,9.32,8.84
2021.7.28,8,7.53
2021.4.28,7.93,7.62
2021.2.3,8.23,8.26
2020.11.4,6.5,5.9
2020.7.29,4.89,4.81
2020.4.29,5.21,5.03
2020.2.5,5.06,4.84
2019.11.6,4.8,4.71
2019.7.31,4.89,5.09
2019.5.1,4.88,4.8
